20.1261 0.677269
19.2693 1.27064
19.8136 1.7267
20.4077 2.11561
21.0435 2.43199
21.754 2.55399
22.39 2.86985
22.9845 3.25829
23.5291 3.71389
23.9728 4.27495
24.4577 4.78925
24.9426 5.30355
25.4275 5.81785
25.9125 6.33216
26.3974 6.84646
26.8823 7.36076
27.3672 7.87507
27.8521 8.38937
28.337 8.90367
28.8219 9.41797
29.3069 9.93228
29.7918 10.4466
30.2767 10.9609
30.7616 11.4752
31.2465 11.9895
31.6844 12.5448
32.3088 12.9052
32.7524 13.4662
33.281 13.936
33.6041 14.5805
34.091 15.0973
34.7154 15.4577
35.2028 15.9742
35.5259 16.6187
36.0128 17.1356
36.6372 17.4959
37.1246 18.0124
37.4476 18.6569
37.9346 19.1738
38.559 19.5342
39.0463 20.0506
39.4209 20.6599
39.8907 21.1885
40.1911 21.8377
40.5955 22.4178
40.8739 23.071
41.0737 23.7525
41.192 24.4527
41.2272 25.1619
41.1787 25.8704
41.295  26.045
41.39   26.29
41.485  26.535
41.58   26.78
41.675  27.025
41.77   27.27
41.865  27.515
41.96   27.76
42.055  28.005
42.15   28.25
42.15   28.25
42.055  28.005
41.96   27.76
41.865  27.515
41.77   27.27
41.295  26.045
41.317 24.4661
41.5295 23.7885
41.8201 23.1406
42.1849 22.5314
42.6188 21.9692
43.1157 21.462
43.7099 21.0637
44.2978 20.6708
44.7952 20.1639
45.1308 19.5259
45.6277 19.0186
44.5696 19.9495
44.957  19.545
45.354  19.19
45.751  18.835
46.148  18.48
46.545  18.125
46.942  17.77
47.339  17.415
47.736  17.06
48.133  16.705
48.53   16.35
48.927  15.995
49.324  15.64
49.721  15.285
50.118  14.93
50.515  14.575
50.912  14.22
51.309  13.865
51.706  13.51
52.103  13.155
